signal_type,entry_time,entry_price,exit_price,exit_reason,hold_hours,pnl_pct,pnl_actual
buy_3_original,2026-02-28 13:05:00,64650.0,66332.42,timeout,24.0,2.6023511214230446,0.39035266821345665
buy_3_original,2026-02-28 14:20:00,64681.81,66896.53,timeout,24.0,3.4240229208180804,0.513603438122712
buy_3_original,2026-02-28 15:20:00,64895.14,67059.71,timeout,24.0,3.335488605155959,0.5003232907733938
buy_3_original,2026-02-28 16:10:00,65187.71,66946.19,timeout,24.0,2.697563697206119,0.40463455458091785
buy_3_original,2026-02-28 16:50:00,65602.65,66125.36,timeout,24.0,0.7967818373190815,0.11951727559786221
buy_3_original,2026-02-28 18:00:00,66190.61,66396.37,timeout,24.0,0.3108598032258575,0.04662897048387862
buy_3_original,2026-02-28 19:25:00,66536.43,66008.42,timeout,24.0,-0.7935652694320913,-0.11903479041481368
buy_3_original,2026-02-28 20:20:00,66733.73,65433.36,timeout,24.0,-1.9485948110498177,-0.2922892216574726
buy_3_original,2026-02-28 21:10:00,66620.5,65515.83,timeout,24.0,-1.658153271140262,-0.24872299067103928
buy_3_original,2026-02-28 22:35:00,67194.13,65514.276750000005,stop_loss,24.0,-2.5,-0.375
buy_3_original,2026-02-28 23:25:00,67407.34,65722.1565,stop_loss,24.0,-2.4999999999999987,-0.3749999999999998
buy_3_original,2026-03-01 00:15:00,67079.36,65402.376,stop_loss,24.0,-2.500000000000006,-0.37500000000000094
sell_3_original,2026-03-01 00:50:00,67458.65,66539.77,timeout,24.0,1.3621381394379968,0.2043207209156995
buy_3_original,2026-03-01 01:40:00,66888.75,65216.53125,stop_loss,24.0,-2.5,-0.375
sell_3_original,2026-03-01 02:20:00,67160.63,66214.65,timeout,24.0,1.4085335411535158,0.21128003117302738
buy_3_original,2026-03-01 02:45:00,66784.58,65114.9655,stop_loss,24.0,-2.500000000000005,-0.3750000000000007
sell_3_original,2026-03-01 03:15:00,67292.3,66632.44,timeout,24.0,0.9805876749642983,0.14708815124464475
buy_3_original,2026-03-01 03:35:00,66389.33,66874.69,timeout,24.0,0.7310813349072819,0.10966220023609229
sell_3_original,2026-03-01 04:20:00,66771.1,66785.76,timeout,24.0,-0.021955606542334843,-0.0032933409813502264
buy_3_original,2026-03-01 04:50:00,66215.71,66744.83,timeout,24.0,0.7990852925989849,0.11986279388984772
sell_3_original,2026-03-01 05:15:00,66661.61,66759.14,timeout,24.0,-0.1463060973174798,-0.021945914597621966
buy_3_original,2026-03-01 06:10:00,66241.97,66609.38,timeout,24.0,0.554648359642691,0.08319725394640365
sell_3_original,2026-03-01 06:30:00,66511.7,66308.32,timeout,24.0,0.30578078744039033,0.04586711811605855
buy_3_original,2026-03-01 09:20:00,65730.28,66492.72,timeout,24.0,1.1599524602664135,0.17399286903996203
sell_3_original,2026-03-01 09:50:00,66228.27,66302.35,timeout,24.0,-0.11185555654707838,-0.016778333482061755
buy_3_original,2026-03-01 10:10:00,65933.87,66144.63,timeout,24.0,0.31965361657067803,0.0479480424856017
sell_3_original,2026-03-01 10:30:00,66657.44,66286.18,timeout,24.0,0.5569670842444734,0.08354506263667101
buy_3_original,2026-03-01 11:00:00,66243.7,66283.79,timeout,24.0,0.06051896255794364,0.009077844383691545
sell_3_original,2026-03-01 15:40:00,66726.66,68394.8265,stop_loss,24.0,-2.499999999999988,-0.37499999999999817
buy_3_original,2026-03-01 16:05:00,66358.45,69738.01,timeout,24.0,5.092885683737335,0.7639328525606003
sell_3_original,2026-03-01 16:30:00,66702.3,68369.8575,stop_loss,24.0,-2.499999999999993,-0.37499999999999895
buy_3_original,2026-03-01 17:10:00,65890.5,69418.51,timeout,24.0,5.354353055448046,0.8031529583172069
sell_3_original,2026-03-01 17:55:00,67037.22,68713.15049999999,stop_loss,24.0,-2.4999999999999813,-0.37499999999999717
buy_3_original,2026-03-01 18:25:00,66672.6,69089.06,timeout,24.0,3.6243674312986016,0.5436551146947902
sell_3_original,2026-03-01 18:55:00,66975.74,68650.1335,stop_loss,24.0,-2.4999999999999862,-0.37499999999999795
buy_3_original,2026-03-01 19:15:00,66547.81,68875.52,timeout,24.0,3.4978010546102216,0.5246701581915332
sell_3_original,2026-03-01 19:55:00,66995.64,68670.53099999999,stop_loss,24.0,-2.499999999999983,-0.37499999999999745
buy_3_original,2026-03-01 20:25:00,66062.83,68951.73,timeout,24.0,4.372958288344587,0.655943743251688
sell_3_original,2026-03-01 21:30:00,66242.58,67898.6445,stop_loss,24.0,-2.49999999999999,-0.37499999999999845
buy_3_original,2026-03-01 22:55:00,65654.54,69440.49,timeout,24.0,5.766470985860249,0.8649706478790374
sell_3_original,2026-03-01 23:15:00,66381.74,68041.2835,stop_loss,24.0,-2.4999999999999996,-0.37499999999999994
buy_3_original,2026-03-01 23:55:00,66003.59,68830.06,timeout,24.0,4.282297372006585,0.6423446058009877
sell_3_original,2026-03-02 00:20:00,66462.4,68123.95999999999,stop_loss,24.0,-2.4999999999999964,-0.37499999999999944
buy_3_original,2026-03-02 00:55:00,65874.92,69092.88,timeout,24.0,4.8849546989962285,0.7327432048494342
sell_3_original,2026-03-02 01:20:00,66157.28,67811.212,stop_loss,24.0,-2.5000000000000013,-0.37500000000000017
buy_3_original,2026-03-02 01:45:00,65259.21,69050.0,timeout,24.0,5.808819935147853,0.871322990272178
sell_3_original,2026-03-02 02:30:00,67220.81,68901.33024999998,stop_loss,24.0,-2.4999999999999805,-0.37499999999999706
buy_3_original,2026-03-02 17:30:00,66850.31,67872.42,timeout,24.0,1.5289532688778866,0.22934299033168298
sell_3_original,2026-03-02 18:50:00,67156.53,68835.44325,stop_loss,24.0,-2.4999999999999964,-0.37499999999999944
buy_3_original,2026-03-02 19:10:00,66707.75,68620.96,timeout,24.0,2.8680475656876547,0.4302071348531482
sell_3_original,2026-03-02 19:35:00,67166.5,68845.66249999999,stop_loss,24.0,-2.499999999999987,-0.37499999999999806
buy_3_original,2026-03-02 21:10:00,66635.3,68047.99,timeout,24.0,2.1200324752796225,0.3180048712919434
sell_3_original,2026-03-02 21:30:00,67254.89,68936.26225,stop_loss,24.0,-2.5000000000000004,-0.37500000000000006
buy_3_original,2026-03-02 22:05:00,66158.0,68389.73,timeout,24.0,3.37333353487106,0.506000030230659
sell_3_original,2026-03-02 22:30:00,67019.23,68694.71074999998,stop_loss,24.0,-2.4999999999999822,-0.37499999999999734
buy_3_original,2026-03-06 06:20:00,66471.79,67917.82,timeout,24.0,2.1754040322970294,0.3263106048445544
sell_3_original,2026-03-06 07:15:00,67483.05,69170.12625,stop_loss,24.0,-2.4999999999999973,-0.3749999999999996
buy_3_original,2026-03-06 07:40:00,67281.34,67794.85,timeout,24.0,0.7632279618687876,0.11448419428031814
sell_3_original,2026-03-06 08:25:00,67457.09,69143.51724999999,stop_loss,24.0,-2.4999999999999902,-0.3749999999999985
buy_3_original,2026-03-06 09:05:00,67183.39,67843.66,timeout,24.0,0.9827875610325767,0.1474181341548865
sell_3_original,2026-03-06 09:25:00,67461.22,69147.7505,stop_loss,24.0,-2.4999999999999902,-0.3749999999999985
buy_3_original,2026-03-06 09:45:00,67247.23,68002.67,timeout,24.0,1.1233771264630563,0.16850656896945845
sell_3_original,2026-03-06 10:20:00,67339.58,69023.0695,stop_loss,24.0,-2.499999999999994,-0.37499999999999906
buy_3_original,2026-03-06 11:05:00,67090.0,67883.06,timeout,24.0,1.1820837680727347,0.1773125652109102
sell_3_original,2026-03-06 11:30:00,67426.52,69112.183,stop_loss,24.0,-2.5000000000000004,-0.37500000000000006
buy_3_original,2026-03-06 12:05:00,66833.58,67987.24,timeout,24.0,1.7261681926959525,0.25892522890439285
sell_3_original,2026-03-06 12:25:00,67071.04,68747.81599999999,stop_loss,24.0,-2.4999999999999973,-0.3749999999999996
buy_3_original,2026-03-06 13:15:00,66547.15,67978.1,timeout,24.0,2.1502799143164086,0.3225419871474613
sell_3_original,2026-03-06 13:45:00,67197.11,68877.03774999999,stop_loss,24.0,-2.4999999999999822,-0.37499999999999734
buy_3_original,2026-03-06 14:05:00,67104.0,67701.0,timeout,24.0,0.8896638054363377,0.13344957081545064
sell_3_original,2026-03-06 14:25:00,67231.86,68912.6565,stop_loss,24.0,-2.499999999999995,-0.3749999999999993
buy_3_original,2026-03-06 14:55:00,67035.18,68016.7,timeout,24.0,1.4641864167441696,0.21962796251162545
sell_3_original,2026-03-06 15:15:00,67465.11,67916.75,timeout,24.0,-0.6694423235951137,-0.10041634853926705
buy_3_original,2026-03-06 15:35:00,67249.67,67822.86,timeout,24.0,0.8523313199901239,0.12784969799851859
sell_3_original,2026-03-06 16:10:00,67564.52,67879.57,timeout,24.0,-0.4662950317711173,-0.0699442547656676
buy_3_original,2026-03-06 18:10:00,67445.56,67624.7,timeout,24.0,0.2656068094030199,0.03984102141045298
buy_3_original,2026-03-06 19:20:00,66888.0,67316.28,timeout,24.0,0.6402942231790438,0.09604413347685657
sell_3_original,2026-03-06 20:30:00,67485.95,67272.66,timeout,24.0,0.3160509706094285,0.04740764559141427
buy_3_original,2026-03-06 20:50:00,67055.73,67424.49,timeout,24.0,0.5499306323262894,0.0824895948489434
sell_3_original,2026-03-06 21:10:00,67369.36,67402.02,timeout,24.0,-0.04847901182377789,-0.007271851773566683
buy_3_original,2026-03-06 21:30:00,67124.33,67421.77,timeout,24.0,0.4431180169694094,0.0664677025454114
sell_3_original,2026-03-06 21:55:00,67255.84,67452.98,timeout,24.0,-0.2931195268693387,-0.0439679290304008
buy_3_original,2026-03-06 22:20:00,66841.33,67316.94,timeout,24.0,0.7115507725534495,0.10673261588301741
sell_3_original,2026-03-06 22:45:00,67179.98,67282.13,timeout,24.0,-0.15205422806021784,-0.022808134209032677
buy_3_original,2026-03-06 23:05:00,66982.16,67309.19,timeout,24.0,0.4882344791508647,0.0732351718726297
sell_3_original,2026-03-06 23:30:00,67127.01,67350.56,timeout,24.0,-0.33302540959295357,-0.049953811438943035
buy_3_original,2026-03-07 00:15:00,66745.54,67389.0,timeout,24.0,0.9640494331156905,0.14460741496735358
